,One-class SVM (OCSVM),Isolation Forest,Lightweight on-line detector of anomalies,Class
0,0.27410866902087827,-0.34802739991918136,0.13680737030359352,0
1,0.27410866902087827,-0.34802739991918136,0.13680737030359352,0
2,0.27410866902087827,-0.34802739991918136,0.13680737030359352,0
3,0.2741086690208781,-0.34802739991918136,0.14321921300525137,0
4,0.24881463495778605,-0.33183320469922994,0.1295642660997227,0
5,0.24881463495778658,-0.33183320469922994,0.13298564790226783,0
6,0.24881463495778666,-0.33183320469922994,0.12158104189378408,0
7,0.17928075750897426,-0.3244179913748822,0.13117286723521535,0
8,0.17928075750897426,-0.3244179913748822,0.12717928345595217,0
9,0.24881463495778658,-0.33183320469922994,0.1398284115073581,0
10,0.250426506445665,-0.3369420582046909,0.1343130008791272,0
11,0.2488146349577865,-0.33183320469922994,0.1261428842971776,0
12,0.2764588748180598,-0.33738410010472264,0.1509134242472408,0
13,0.27746999051966814,-0.34249295361018367,0.12805661691136905,0
14,0.36659347407001414,-0.2699522552910605,0.1449209032114392,0
15,0.3683773082474805,-0.27686158665514154,0.11801126693949975,0
16,0.3666785555413644,-0.27187782845604724,0.13754495837874756,0
17,0.3683773082474809,-0.2768615866551416,0.1399866698086535,0
18,0.36837730824747983,-0.2768615866551416,0.13998666980865354,0
19,0.3679382187993105,-0.2354084446141355,0.12075278768750594,0
20,0.3612993933490872,-0.24818317859804018,0.11389833493400933,0
21,0.3642143201604246,-0.25453753098393506,0.12852116747480208,0
22,0.2773144261615588,-0.3465175095309917,0.13899723326677907,0
23,0.2773144261615591,-0.3465175095309917,0.13899723326677907,0
24,0.2589477626917852,-0.36732975988092703,0.13931455612849064,0
25,0.2589477626917853,-0.36732975988092703,0.14709967193668366,0
26,0.2751413946559034,-0.35343783271218815,0.1327310212550318,0
27,0.25516285969825264,-0.35709404468008943,0.13246838196047242,0
28,0.25516285969825214,-0.35709404468008943,0.1580972668448829,0
29,0.25516285969825103,-0.35709404468008943,0.14385899746465491,0
30,0.25516285969825103,-0.35709404468008954,0.14955430521674612,0
31,0.25561643948042356,-0.3626472384877445,0.13776075734552495,0
32,0.25437648175920036,-0.3492972379983175,0.15474719737673567,0
33,0.25437648175920063,-0.3492972379983175,0.15304855337361462,0
34,0.25437648175920036,-0.3492972379983175,0.1428566893548882,0
35,0.27382388644205535,-0.3512190150492518,0.16233038411717537,0
36,0.27487822201049683,-0.3628879505330932,0.1639173991143187,0
37,0.27487822201049683,-0.3628879505330932,0.1391460463847284,0
38,0.27487822201049683,-0.3628879505330932,0.141210325778861,0
39,0.27487822201049683,-0.3628879505330932,0.14533888456712601,0
40,0.27382388644205535,-0.3512190150492518,0.14044671415731427,0
41,0.27382388644205535,-0.3512190150492518,0.14591763164727953,0
42,0.2748897583447655,-0.35121901504925174,0.13132851834070533,0
43,0.27380324339390855,-0.33801172875217683,0.12494034734892716,0
44,0.27380324339390855,-0.3380117287521768,0.13584729081747368,0
45,0.2762460889514412,-0.35343783271218815,0.14831236906724118,0
46,0.25963116398309255,-0.3616331121731266,0.1409078153631186,0
